ticker,sector,window_days,sentiment_regime,n_meetings,mean_return,median_return,std_return,mean_excess_return,cohens_d_vs_bearish
XLP,Consumer Staples,60,Bullish,8,0.021102404461656676,0.017897741764156816,0.03754778463857612,0.0025472479163290845,-0.018391078996855183
XLP,Consumer Staples,90,Bearish,61,0.037338972727269305,0.036070714179751384,0.05450180491745419,-0.02541102505982051,
XLP,Consumer Staples,90,Neutral,19,0.025811584986581787,0.01972671775092194,0.0638037886801366,-0.014550764723297673,
XLP,Consumer Staples,90,Bullish,8,0.025667095335262083,0.04665313699052265,0.06287040378299806,0.021990383825992055,-0.1983829449400867
XLE,Energy,30,Bearish,62,0.011781497998045277,-0.0016693449939815808,0.12875323770824446,-2.3043295816522183e-05,
XLE,Energy,30,Neutral,20,-0.010960755502984736,-0.01057617545037648,0.07741032925386343,-0.027253000925430527,
XLE,Energy,30,Bullish,8,0.019548736586365578,0.04370070497872924,0.07422530213375857,-0.0031593904355272096,0.07391206327087989
XLE,Energy,60,Bearish,62,0.0366261869675939,0.007724399185221054,0.15757423223514266,0.0017368169163082903,
XLE,Energy,60,Neutral,19,0.024780024671459105,0.030163427763876483,0.10191048621175157,-0.01950063291746072,
XLE,Energy,60,Bullish,8,-0.01383012329140966,-0.014092318293264627,0.16857549006612627,-0.03238527983673725,-0.3092299498992923
XLE,Energy,90,Bearish,61,0.051197537870766564,0.01904653518163224,0.17410708596043947,-0.011552459916323268,
XLE,Energy,90,Neutral,19,0.0344213264169268,0.03741892814904246,0.15714542202140275,-0.005941023292952663,
XLE,Energy,90,Bullish,8,-0.039785676905733244,-0.024701298720126108,0.16873565361738385,-0.04346238841500327,-0.5306925870893093
XLI,Industrials,30,Bearish,62,0.010499882657565275,0.01188032930402294,0.07273501943432151,-0.0013046586362965259,
XLI,Industrials,30,Neutral,20,0.013468380717852274,0.02412036174153842,0.05299498500850871,-0.002823864704593515,
XLI,Industrials,30,Bullish,8,0.013969855041040827,0.009854464363052817,0.0461982283446759,-0.008738271980851961,0.056951183002672066
XLI,Industrials,60,Bearish,62,0.03393262256137381,0.03793799179021229,0.09056678844716884,-0.000956747489911799,
XLI,Industrials,60,Neutral,19,0.03908806417646065,0.044734422681551145,0.05420866054651682,-0.005192593412459175,
XLI,Industrials,60,Bullish,8,0.0023862804296319595,0.018420914800310606,0.06859756243268333,-0.016168876115695632,-0.3926766293169458
XLI,Industrials,90,Bearish,61,0.06440945913746877,0.05345725087879427,0.09510273856910181,0.0016594613503789458,
XLI,Industrials,90,Neutral,19,0.03715539637642379,0.06453081473866451,0.06879988733861325,-0.00320695333345567,
XLI,Industrials,90,Bullish,8,-0.0344081101200865,-0.03774761609429961,0.1045034335960259,-0.03808482162935653,-0.989029135101988
XLB,Materials,30,Bearish,62,0.011749306485704752,0.012916323900419302,0.07490563735941716,-5.523480815704923e-05,
XLB,Materials,30,Neutral,20,0.004401309869762287,0.014018313957165907,0.0523568626899356,-0.011890935552683501,
XLB,Materials,30,Bullish,8,0.017601857934457926,0.02166918173770327,0.06377735466196809,-0.0051062690874348615,0.08413144177984057
XLB,Materials,60,Bearish,62,0.030973532220522678,0.028956324565463043,0.09812096034491313,-0.003915837830762934,
XLB,Materials,60,Neutral,19,0.02353921536162527,0.03108261057673878,0.06829663201645955,-0.020741442227294554,
XLB,Materials,60,Bullish,8,0.00249899633821285,0.014770319924212849,0.08030044346777598,-0.016056160207114742,-0.3176027242446519
XLB,Materials,90,Bearish,61,0.055876578611445064,0.04774001253366,0.11016470995730382,-0.006873419175644752,
XLB,Materials,90,Neutral,19,0.019773552941059893,0.035193195015664536,0.0751670964378888,-0.02058879676881957,
XLB,Materials,90,Bullish,8,-0.04329790685972898,-0.08282348769793668,0.10179891516770449,-0.04697461836899901,-0.9350409258452016
XLRE,Real Estate,30,Bearish,57,0.01255080737817819,0.016637591455376466,0.06694302065761451,0.0001665658768877511,
XLRE,Real Estate,30,Neutral,20,-0.004136704718466366,0.005074915734490371,0.047668124650084256,-0.020428950140912155,
XLRE,Real Estate,30,Bullish,7,0.024325909744882752,0.0331039299195417,0.03770779416611746,-0.002352133569054108,0.21673759871687032
XLRE,Real Estate,60,Bearish,57,0.029113804440124503,0.027884928188940172,0.0830247375715187,-0.009036980212187077,
XLRE,Real Estate,60,Neutral,19,0.013637952024958327,0.022667830484364382,0.05663961962760567,-0.030642705563961495,
XLRE,Real Estate,60,Bullish,7,0.012356074124113483,-0.0021481950129744742,0.03950775851979791,-0.008518912572468744,-0.2577506937161651
XLRE,Real Estate,90,Bearish,56,0.044936771310060006,0.037168785457852516,0.08182162005060363,-0.02497188465873529,
XLRE,Real Estate,90,Neutral,19,0.009604008293326655,-0.0002593067964254958,0.0770480346967182,-0.030758341416552804,
XLRE,Real Estate,90,Bullish,7,0.0032104365774811966,0.007600454569132609,0.09748917324713377,-0.0021702409471295392,-0.4636414478469209
XLU,Utilities,30,Bearish,62,0.015065274122541739,0.015789287032737076,0.0606080517702275,0.003260732828679939,
XLU,Utilities,30,Neutral,20,-0.000821354854451134,-0.003456214768599808,0.048647216478026716,-0.01711360027689692,
XLU,Utilities,30,Bullish,8,0.027244136842699246,0.02588546221534016,0.042697004208830026,0.004536009820806458,0.23231847513798093
XLU,Utilities,60,Bearish,62,0.035112584718991605,0.04239533780404703,0.0679471892360201,0.00022321466770598572,
XLU,Utilities,60,Neutral,19,0.011035635535027241,0.016076097903948927,0.04895975889671833,-0.033245022053892584,
XLU,Utilities,60,Bullish,8,0.028554097140632867,0.030562690968783945,0.05583251912813436,0.009998940595305275,-0.10546638670025951
XLU,Utilities,90,Bearish,61,0.04537592195732676,0.05897333355881473,0.07130650475158398,-0.017374075829763063,
XLU,Utilities,90,Neutral,19,0.02253450879563635,0.03253929615913975,0.058247737054189855,-0.017827840914243113,
XLU,Utilities,90,Bullish,8,0.03592012205894879,0.05308696354424691,0.09803948643903276,0.03224341054967876,-0.1103083534334446
XLC,Communication Services,30,Bearish,43,0.008363624166078713,0.014492274367047697,0.07263719866958655,-0.003088819830785208,
XLC,Communication Services,30,Neutral,14,0.017901731780504034,0.028732772190784073,0.0681109580356517,0.004185962438642055,
XLC,Communication Services,30,Bullish,5,0.029917639012865305,0.04407635238132679,0.04248799423401682,0.002398206420890281,0.3622295270030801
XLC,Communication Services,60,Bearish,43,0.040672861363806,0.06010908024468731,0.11236448218783694,0.0008386829966961714,
XLC,Communication Services,60,Neutral,13,0.052075420617782045,0.05171021415856125,0.07817845074937207,0.0056750114772982085,
XLC,Communication Services,60,Bullish,5,0.03147471983420482,0.0586029792918592,0.05716339014678271,0.017748092071683996,-0.103182552792663
XLC,Communication Services,90,Bearish,42,0.07580744253049077,0.09441897811145106,0.12932798346400692,0.0033016660355655184,
XLC,Communication Services,90,Neutral,13,0.03724427854342905,0.019129186048509883,0.11275562948754686,-0.0018927218009749179,
XLC,Communication Services,90,Bullish,5,0.022091801699606582,0.02413318494062633,0.07434062058774406,0.030378744690483583,-0.5092473096695582
